graph_mode,chart_title,x_axis_label,y_axis_label,x,y,text
time,Revenue Trend,Time,Money,2026-04-13,0,
time,Revenue Trend,Time,Money,2026-04-14,0,
time,Revenue Trend,Time,Money,2026-04-15,0,
time,Revenue Trend,Time,Money,2026-04-16,0,
time,Revenue Trend,Time,Money,2026-04-17,0,
time,Revenue Trend,Time,Money,2026-04-18,0,
time,Revenue Trend,Time,Money,2026-04-19,0,
time,Revenue Trend,Time,Money,2026-04-20,0,
time,Revenue Trend,Time,Money,2026-04-21,0,
time,Revenue Trend,Time,Money,2026-04-22,0,
time,Revenue Trend,Time,Money,2026-04-23,0,
time,Revenue Trend,Time,Money,2026-04-24,0,
time,Revenue Trend,Time,Money,2026-04-25,0,
time,Revenue Trend,Time,Money,2026-04-26,0,
time,Revenue Trend,Time,Money,2026-04-27,0,
time,Revenue Trend,Time,Money,2026-04-28,0,
time,Revenue Trend,Time,Money,2026-04-29,0,
time,Revenue Trend,Time,Money,2026-04-30,0,
time,Revenue Trend,Time,Money,2026-05-01,0,
time,Revenue Trend,Time,Money,2026-05-02,0,
time,Revenue Trend,Time,Money,2026-05-03,0,
time,Revenue Trend,Time,Money,2026-05-04,0,
time,Revenue Trend,Time,Money,2026-05-05,0,
time,Revenue Trend,Time,Money,2026-05-06,0,
time,Revenue Trend,Time,Money,2026-05-07,0,
time,Revenue Trend,Time,Money,2026-05-08,0,
time,Revenue Trend,Time,Money,2026-05-09,0,
time,Revenue Trend,Time,Money,2026-05-10,0,
time,Revenue Trend,Time,Money,2026-05-11,0,
time,Revenue Trend,Time,Money,2026-05-12,0,
time,Revenue Trend,Time,Money,2026-05-13,0,
time,Revenue Trend,Time,Money,2026-05-14,0,
time,Revenue Trend,Time,Money,2026-05-15,0,
time,Revenue Trend,Time,Money,2026-05-16,-647.82,Domain purchased
time,Revenue Trend,Time,Money,2026-05-17,0,
time,Revenue Trend,Time,Money,2026-05-18,0,
time,Revenue Trend,Time,Money,2026-05-19,0,
time,Revenue Trend,Time,Money,2026-05-20,0,
time,Revenue Trend,Time,Money,2026-05-21,0,
time,Revenue Trend,Time,Money,2026-05-22,0,
time,Revenue Trend,Time,Money,2026-05-23,0,
time,Revenue Trend,Time,Money,2026-05-24,-399,Recharge VI
time,Revenue Trend,Time,Money,2026-05-25,0,
